inventory_id,product_id,warehouse_id,grn_id,grn_date,quantity_on_hand,unit_cost,batch_status,inventory_value,age_days,age_bucket,inventory_status
INV000027,P0015,WH003,GRN000886,2025-12-22,615,3826.04,Sellable,2353014.6,239,181-365,Non Moving
INV000028,P0015,WH001,GRN001798,2026-06-23,236,3849.99,Sellable,908597.64,56,31-60,Healthy
INV000029,P0016,WH008,GRN001424,2026-07-11,209,2741.51,Sellable,572975.59,38,31-60,Healthy
INV000030,P0016,WH006,GRN000328,2026-06-10,697,2753.86,Sellable,1919440.42,69,61-90,Slow Moving
INV000031,P0017,WH005,GRN001278,2025-11-26,838,11833.12,Sellable,9916154.56,265,181-365,Non Moving
INV000032,P0017,WH003,GRN002389,2026-06-17,213,11411.23,Sellable,2430591.99,62,61-90,Slow Moving
INV000033,P0017,WH001,GRN001936,2026-04-11,269,11243.69,Sellable,3024552.61,129,91-180,Slow Moving
INV000034,P0018,WH004,GRN000188,2026-05-17,1142,841.28,Sellable,960741.76,93,91-180,Slow Moving
INV000035,P0018,WH008,GRN000388,2026-08-09,174,859.5,Sellable,149553.0,9,0-30,Healthy
INV000036,P0019,WH007,GRN001221,2026-06-11,546,8671.21,Sellable,4734480.66,68,61-90,Slow Moving
INV000037,P0019,WH002,GRN002402,2026-06-17,687,8734.54,Sellable,6000628.98,62,61-90,Slow Moving
INV000038,P0020,WH003,GRN001409,2025-11-21,590,12368.19,Sellable,7297232.1,270,181-365,Non Moving
INV000039,P0020,WH004,GRN000340,2025-12-11,979,11861.6,Sellable,11612506.4,250,181-365,Non Moving
INV000040,P0020,WH002,GRN001522,2026-06-21,406,12091.73,Sellable,4909242.38,58,31-60,Healthy
INV000041,P0021,WH004,GRN000099,2026-06-05,204,5168.93,Sellable,1054461.72,74,61-90,Slow Moving
INV000042,P0022,WH008,GRN000918,2026-06-19,463,8316.87,Sellable,3850710.81,60,31-60,Healthy
INV000043,P0022,WH004,GRN000997,2026-06-26,386,8023.29,Sellable,3096989.94,53,31-60,Healthy
INV000044,P0023,WH006,GRN000753,2026-01-03,1114,3105.83,Sellable,3459894.62,227,181-365,Non Moving
INV000045,P0023,WH003,GRN000238,2026-06-13,106,3059.76,Sellable,324334.56,66,61-90,Slow Moving
INV000046,P0023,WH002,GRN001985,2026-07-13,679,2879.04,Sellable,1954868.16,36,31-60,Healthy
INV000047,P0024,WH002,GRN001266,2026-03-18,567,8781.54,Sellable,4979133.18,153,91-180,Slow Moving
INV000048,P0024,WH003,GRN000793,2026-04-24,329,9073.62,Sellable,2985220.98,116,91-180,Slow Moving
INV000049,P0024,WH007,GRN000087,2026-08-04,50,8648.8,Sellable,432440.0,14,0-30,Healthy
INV000050,P0025,WH003,GRN001976,2026-03-24,980,5008.01,Sellable,4907849.8,147,91-180,Slow Moving
INV000051,P0025,WH008,GRN000152,2026-04-13,248,4712.63,Sellable,1168732.24,127,91-180,Slow Moving
INV000052,P0025,WH002,GRN001095,2026-07-06,504,4923.21,Damaged,2481297.84,43,31-60,Healthy
INV000053,P0026,WH002,GRN002037,2026-05-26,466,2359.05,Sellable,1099317.3,84,61-90,Slow Moving
INV000054,P0026,WH008,GRN000791,2026-08-10,35,2277.79,Sellable,79722.65,8,0-30,Healthy
INV000055,P0027,WH003,GRN000162,2026-08-04,467,8191.05,Sellable,3825220.35,14,0-30,Healthy
INV000056,P0027,WH006,GRN002010,2026-07-29,676,8117.16,Sellable,5487200.16,20,0-30,Healthy
INV000057,P0027,WH008,GRN000512,2026-07-18,233,8079.17,Sellable,1882446.61,31,31-60,Healthy
INV000058,P0028,WH007,GRN000986,2026-07-08,356,4161.46,Sellable,1481479.76,41,31-60,Healthy
INV000059,P0029,WH003,GRN001648,2026-04-02,802,4567.52,Sellable,3663151.04,138,91-180,Slow Moving
INV000060,P0030,WH007,GRN001986,2026-08-07,169,8831.87,Damaged,1492586.03,11,0-30,Healthy
INV000061,P0031,WH008,GRN001942,2026-06-12,430,2792.29,Sellable,1200684.7,67,61-90,Slow Moving
INV000062,P0032,WH003,GRN001112,2026-06-11,119,3161.17,Sellable,376179.23,68,61-90,Slow Moving
INV000063,P0032,WH005,GRN000514,2026-05-11,1029,3172.3,Sellable,3264296.7,99,91-180,Slow Moving
INV000064,P0033,WH003,GRN001472,2026-07-31,297,10882.53,Sellable,3232111.41,18,0-30,Healthy
INV000065,P0033,WH005,GRN000890,2026-03-13,793,10741.69,Sellable,8518160.17,158,91-180,Slow Moving
INV000066,P0034,WH003,GRN002176,2026-03-02,1050,8778.52,Sellable,9217446.0,169,91-180,Slow Moving
INV000067,P0034,WH008,GRN001126,2026-06-11,285,8656.36,Sellable,2467062.6,68,61-90,Slow Moving
INV000068,P0034,WH001,GRN001949,2026-06-07,233,8308.71,Sellable,1935929.43,72,61-90,Slow Moving
INV000069,P0035,WH007,GRN000557,2026-06-23,551,10524.74,Sellable,5799131.74,56,31-60,Healthy
INV000070,P0036,WH003,GRN000138,2026-07-31,216,9227.63,Sellable,1993168.08,18,0-30,Healthy
INV000071,P0037,WH001,GRN002467,2026-08-04,281,1320.15,Sellable,370962.15,14,0-30,Healthy
INV000072,P0037,WH005,GRN001130,2026-08-05,596,1251.65,Sellable,745983.4,13,0-30,Healthy
INV000073,P0038,WH004,GRN001205,2026-03-06,1196,2063.7,Sellable,2468185.2,165,91-180,Slow Moving
INV000074,P0038,WH001,GRN002039,2026-07-30,410,2065.43,Sellable,846826.3,19,0-30,Healthy
INV000075,P0038,WH008,GRN002223,2025-12-02,819,2035.23,Sellable,1666853.37,259,181-365,Non Moving
INV000076,P0039,WH006,GRN001685,2026-02-25,435,7740.35,Sellable,3367052.25,174,91-180,Slow Moving
INV000077,P0039,WH004,GRN002428,2026-08-16,60,8105.89,Sellable,486353.4,2,0-30,Healthy
INV000078,P0040,WH007,GRN001440,2026-07-31,697,2988.27,Sellable,2082824.19,18,0-30,Healthy
INV000079,P0041,WH006,GRN002473,2026-07-13,115,8272.11,Sellable,951292.65,36,31-60,Healthy
INV000080,P0041,WH008,GRN002038,2026-08-18,294,7784.33,Sellable,2288593.02,0,0-30,Healthy
INV000081,P0041,WH004,GRN001654,2026-02-20,1182,7887.96,Sellable,9323568.72,179,91-180,Slow Moving
INV000082,P0042,WH004,GRN001655,2026-06-21,695,7442.15,Sellable,5172294.25,58,31-60,Healthy
INV000083,P0043,WH001,GRN002366,2026-06-07,454,11817.16,Sellable,5364990.64,72,61-90,Slow Moving
INV000084,P0044,WH005,GRN001648,2026-02-02,1435,9830.71,Sellable,14107068.85,197,181-365,Non Moving
INV000085,P0044,WH004,GRN002001,2026-07-30,192,9999.31,Sellable,1919867.52,19,0-30,Healthy
INV000086,P0045,WH001,GRN001607,2026-07-23,335,5873.16,Sellable,1967508.6,26,0-30,Healthy
INV000087,P0046,WH002,GRN000900,2026-08-02,341,3459.68,Sellable,1179750.88,16,0-30,Healthy
INV000088,P0047,WH004,GRN000733,2026-05-29,408,11821.16,Sellable,4823033.28,81,61-90,Slow Moving
INV000089,P0047,WH005,GRN002308,2026-06-05,81,11784.55,Sellable,954548.55,74,61-90,Slow Moving
INV000090,P0048,WH001,GRN000322,2026-08-14,455,4460.03,Sellable,2029313.65,4,0-30,Healthy
INV000091,P0048,WH003,GRN002034,2026-07-07,58,4626.17,Sellable,268317.86,42,31-60,Healthy
INV000092,P0049,WH006,GRN001297,2026-07-19,591,6785.05,Sellable,4009964.55,30,0-30,Healthy
INV000093,P0049,WH007,GRN001022,2026-06-27,456,6549.77,Sellable,2986695.12,52,31-60,Healthy
INV000094,P0050,WH001,GRN001731,2026-07-23,164,3716.07,Sellable,609435.48,26,0-30,Healthy
INV000095,P0051,WH004,GRN001481,2026-08-07,202,6875.16,Sellable,1388782.32,11,0-30,Healthy
INV000096,P0051,WH007,GRN001186,2025-09-24,1132,6782.21,Sellable,7677461.72,328,181-365,Non Moving
INV000097,P0052,WH006,GRN002054,2025-10-24,622,960.28,Sellable,597294.16,298,181-365,Non Moving
INV000098,P0052,WH001,GRN000808,2026-08-13,277,958.77,Sellable,265579.29,5,0-30,Healthy
INV000099,P0052,WH007,GRN001995,2026-07-10,239,940.33,Sellable,224738.87,39,31-60,Healthy
INV000100,P0053,WH001,GRN001033,2026-01-30,569,3642.22,Sellable,2072423.18,200,181-365,Non Moving
INV000101,P0053,WH008,GRN000968,2026-04-02,117,3661.52,Sellable,428397.84,138,91-180,Slow Moving
INV000102,P0053,WH004,GRN002024,2026-08-01,491,3745.55,Sellable,1839065.05,17,0-30,Healthy
INV000103,P0054,WH006,GRN001438,2026-05-29,917,8321.39,Sellable,7630714.63,81,61-90,Slow Moving
INV000104,P0055,WH004,GRN002187,2026-07-03,77,9605.91,Sellable,739655.07,46,31-60,Healthy
INV000105,P0055,WH003,GRN001199,2026-07-15,345,10179.34,Sellable,3511872.3,34,31-60,Healthy
INV000106,P0056,WH007,GRN000201,2026-07-17,636,144.08,Sellable,91634.88,32,31-60,Healthy
INV000107,P0057,WH001,GRN001343,2026-07-23,186,960.96,Sellable,178738.56,26,0-30,Healthy
INV000108,P0057,WH008,GRN001874,2026-03-18,1061,945.39,Sellable,1003058.79,153,91-180,Slow Moving
INV000109,P0057,WH003,GRN000744,2025-12-06,1429,963.7,Sellable,1377127.3,255,181-365,Non Moving
INV000110,P0058,WH005,GRN000452,2026-08-06,483,3991.88,Sellable,1928078.04,12,0-30,Healthy
INV000111,P0059,WH008,GRN000861,2026-08-04,319,8283.21,Sellable,2642343.99,14,0-30,Healthy
INV000112,P0060,WH004,GRN000290,2026-04-13,663,3537.32,Sellable,2345243.16,127,91-180,Slow Moving
INV000113,P0060,WH006,GRN001300,2026-04-11,1157,3397.19,Sellable,3930548.83,129,91-180,Slow Moving
INV000114,P0061,WH002,GRN002259,2026-03-09,630,520.5,Sellable,327915.0,162,91-180,Slow Moving
INV000115,P0061,WH001,GRN002210,2026-08-01,340,509.65,Damaged,173281.0,17,0-30,Healthy
INV000116,P0062,WH005,GRN002011,2026-08-05,539,4002.83,Sellable,2157525.37,13,0-30,Healthy
INV000117,P0062,WH003,GRN000644,2026-03-29,291,4167.22,Sellable,1212661.02,142,91-180,Slow Moving
INV000118,P0062,WH006,GRN002429,2026-06-10,636,3885.43,Sellable,2471133.48,69,61-90,Slow Moving
INV000119,P0063,WH006,GRN000341,2026-06-20,468,7364.92,Sellable,3446782.56,59,31-60,Healthy
INV000120,P0063,WH005,GRN002324,2026-08-06,168,7877.35,Sellable,1323394.8,12,0-30,Healthy
INV000121,P0063,WH004,GRN000643,2026-06-10,273,7423.65,Sellable,2026656.45,69,61-90,Slow Moving
INV000122,P0064,WH004,GRN000324,2026-07-22,288,5126.3,Sellable,1476374.4,27,0-30,Healthy
INV000123,P0064,WH006,GRN001587,2026-07-27,82,5212.84,Sellable,427452.88,22,0-30,Healthy
INV000124,P0065,WH005,GRN000741,2026-05-07,1020,6498.47,Sellable,6628439.4,103,91-180,Slow Moving
INV000125,P0065,WH006,GRN000817,2026-06-20,132,6406.68,Sellable,845681.76,59,31-60,Healthy
INV000126,P0065,WH004,GRN001720,2026-04-28,1116,6137.03,Sellable,6848925.48,112,91-180,Slow Moving
INV000127,P0066,WH004,GRN002394,2026-07-20,259,3357.61,Sellable,869620.99,29,0-30,Healthy
INV000128,P0067,WH002,GRN002343,2026-08-17,119,383.21,Sellable,45601.99,1,0-30,Healthy
INV000129,P0067,WH008,GRN002290,2026-07-03,357,398.67,Sellable,142325.19,46,31-60,Healthy
INV000130,P0067,WH005,GRN002312,2026-03-05,319,375.33,Sellable,119730.27,166,91-180,Slow Moving
INV000131,P0068,WH001,GRN002217,2026-04-30,1121,4838.19,Sellable,5423610.99,110,91-180,Slow Moving
INV000132,P0068,WH005,GRN001606,2026-03-31,382,4941.93,Sellable,1887817.26,140,91-180,Slow Moving
INV000133,P0068,WH003,GRN002333,2026-03-16,576,5109.16,Sellable,2942876.16,155,91-180,Slow Moving
INV000134,P0069,WH002,GRN001715,2026-06-28,652,3040.74,Sellable,1982562.48,51,31-60,Healthy
INV000135,P0069,WH008,GRN002118,2026-06-07,631,2998.89,Sellable,1892299.59,72,61-90,Slow Moving
INV000136,P0070,WH002,GRN001202,2026-06-20,140,11649.48,Sellable,1630927.2,59,31-60,Healthy
INV000137,P0071,WH007,GRN001845,2026-07-28,144,8983.95,Sellable,1293688.8,21,0-30,Healthy
INV000138,P0071,WH005,GRN001820,2025-11-16,382,8894.56,Sellable,3397721.92,275,181-365,Non Moving
INV000139,P0071,WH008,GRN001212,2026-08-09,170,8888.39,Sellable,1511026.3,9,0-30,Healthy
INV000140,P0072,WH003,GRN002197,2026-05-19,1170,1998.18,Sellable,2337870.6,91,91-180,Slow Moving
INV000141,P0073,WH002,GRN001102,2026-06-16,489,1179.88,Sellable,576961.32,63,61-90,Slow Moving
INV000142,P0074,WH007,GRN001720,2026-08-06,494,8415.97,Sellable,4157489.18,12,0-30,Healthy
INV000143,P0074,WH008,GRN001299,2026-08-08,110,8607.29,Sellable,946801.9,10,0-30,Healthy
INV000144,P0075,WH004,GRN000946,2026-08-09,457,9520.18,Sellable,4350722.26,9,0-30,Healthy
INV000145,P0075,WH005,GRN001182,2026-02-03,1067,10155.8,Sellable,10836238.6,196,181-365,Non Moving
INV000146,P0076,WH006,GRN001895,2026-05-09,197,7735.98,Sellable,1523988.06,101,91-180,Slow Moving
INV000147,P0076,WH008,GRN001537,2026-08-05,421,7928.99,Sellable,3338104.79,13,0-30,Healthy
INV000148,P0076,WH001,GRN000552,2026-08-04,439,8161.32,Sellable,3582819.48,14,0-30,Healthy
INV000149,P0077,WH007,GRN000294,2026-06-16,397,10373.34,Sellable,4118215.98,63,61-90,Slow Moving
INV000150,P0077,WH004,GRN002155,2026-05-05,209,10394.12,Sellable,2172371.08,105,91-180,Slow Moving
INV000151,P0078,WH004,GRN000147,2026-06-18,368,6030.81,Sellable,2219338.08,61,61-90,Slow Moving
INV000152,P0078,WH002,GRN000714,2026-07-23,277,5916.92,Sellable,1638986.84,26,0-30,Healthy
INV000153,P0078,WH003,GRN002451,2026-04-19,403,5925.62,Sellable,2388024.86,121,91-180,Slow Moving
INV000154,P0079,WH005,GRN001880,2026-08-01,555,7615.88,Sellable,4226813.4,17,0-30,Healthy
INV000155,P0080,WH004,GRN001808,2026-03-17,326,9534.19,Sellable,3108145.94,154,91-180,Slow Moving
INV000156,P0081,WH006,GRN000535,2026-06-09,205,1651.08,Sellable,338471.4,70,61-90,Slow Moving
INV000157,P0081,WH002,GRN000887,2026-02-23,184,1619.17,Sellable,297927.28,176,91-180,Slow Moving
INV000158,P0081,WH008,GRN002132,2026-07-30,417,1647.04,Sellable,686815.68,19,0-30,Healthy
INV000159,P0082,WH002,GRN001782,2025-10-18,207,7902.03,Sellable,1635720.21,304,181-365,Non Moving
INV000160,P0083,WH003,GRN000069,2026-06-16,668,2411.09,Sellable,1610608.12,63,61-90,Slow Moving
INV000161,P0084,WH004,GRN001772,2026-07-03,635,311.56,Sellable,197840.6,46,31-60,Healthy
INV000162,P0085,WH006,GRN001491,2026-07-31,57,963.36,Sellable,54911.52,18,0-30,Healthy
INV000163,P0086,WH001,GRN000423,2026-05-15,681,4256.33,Sellable,2898560.73,95,91-180,Slow Moving
INV000164,P0086,WH005,GRN000968,2026-02-03,973,4251.55,Sellable,4136758.15,196,181-365,Non Moving
INV000165,P0087,WH007,GRN000443,2026-08-02,353,8695.73,Sellable,3069592.69,16,0-30,Healthy
INV000166,P0087,WH001,GRN002441,2026-08-17,217,8553.88,Sellable,1856191.96,1,0-30,Healthy
INV000167,P0088,WH005,GRN002107,2026-01-22,294,567.09,Sellable,166724.46,208,181-365,Non Moving
INV000168,P0088,WH002,GRN000471,2026-06-16,233,535.37,Sellable,124741.21,63,61-90,Slow Moving
INV000169,P0088,WH003,GRN001119,2026-08-12,158,533.59,Sellable,84307.22,6,0-30,Healthy
INV000170,P0089,WH007,GRN001269,2026-08-09,70,6436.01,Sellable,450520.7,9,0-30,Healthy
INV000171,P0089,WH001,GRN000394,2026-08-04,159,6933.28,Sellable,1102391.52,14,0-30,Healthy
INV000172,P0089,WH002,GRN000146,2026-08-05,554,6671.38,Sellable,3695944.52,13,0-30,Healthy
INV000173,P0090,WH003,GRN001936,2026-06-21,542,8818.5,Sellable,4779627.0,58,31-60,Healthy
INV000174,P0091,WH001,GRN000619,2026-06-11,248,7178.21,Sellable,1780196.08,68,61-90,Slow Moving
INV000175,P0091,WH006,GRN001110,2026-06-30,86,6998.51,Sellable,601871.86,49,31-60,Healthy
INV000176,P0092,WH004,GRN000133,2026-07-12,537,8077.57,Sellable,4337655.09,37,31-60,Healthy
INV000177,P0093,WH004,GRN002352,2026-04-08,958,11174.86,Sellable,10705515.88,132,91-180,Slow Moving
INV000178,P0093,WH006,GRN000158,2026-06-20,406,11325.75,Sellable,4598254.5,59,31-60,Healthy
INV000179,P0094,WH008,GRN001829,2026-06-19,157,3654.78,Sellable,573800.46,60,31-60,Healthy
INV000180,P0095,WH001,GRN001703,2026-08-14,70,11387.82,Sellable,797147.4,4,0-30,Healthy
INV000181,P0095,WH004,GRN001460,2026-03-05,508,12038.16,Sellable,6115385.28,166,91-180,Slow Moving
INV000182,P0095,WH003,GRN001467,2026-06-09,412,11286.55,Sellable,4650058.6,70,61-90,Slow Moving
INV000183,P0096,WH001,GRN001020,2026-06-12,413,11353.71,Sellable,4689082.23,67,61-90,Slow Moving
INV000184,P0096,WH007,GRN000548,2026-07-23,108,11436.74,Sellable,1235167.92,26,0-30,Healthy
INV000185,P0097,WH008,GRN001072,2025-12-19,1280,1106.43,Sellable,1416230.4,242,181-365,Non Moving
INV000186,P0098,WH005,GRN001329,2026-06-12,408,6533.83,Sellable,2665802.64,67,61-90,Slow Moving
INV000187,P0099,WH006,GRN001258,2025-08-27,787,9569.92,Sellable,7531527.04,356,181-365,Non Moving
INV000188,P0099,WH004,GRN000876,2026-08-16,367,9620.2,Sellable,3530613.4,2,0-30,Healthy
INV000189,P0100,WH005,GRN002237,2026-08-04,210,794.68,Sellable,166882.8,14,0-30,Healthy
INV000190,P0100,WH004,GRN002414,2026-07-17,201,745.39,Sellable,149823.39,32,31-60,Healthy
INV000191,P0101,WH005,GRN000985,2026-07-19,519,6637.68,Sellable,3444955.92,30,0-30,Healthy
INV000192,P0102,WH005,GRN002295,2026-07-22,321,8572.76,Sellable,2751855.96,27,0-30,Healthy
INV000193,P0102,WH004,GRN000791,2026-07-21,431,8495.21,Sellable,3661435.51,28,0-30,Healthy
INV000194,P0102,WH003,GRN000595,2025-08-27,1409,8231.69,Sellable,11598451.21,356,181-365,Non Moving
INV000195,P0103,WH004,GRN002076,2025-11-08,1015,10564.71,Sellable,10723180.65,283,181-365,Non Moving
INV000196,P0103,WH001,GRN001498,2026-06-21,214,9984.86,Sellable,2136760.04,58,31-60,Healthy
INV000197,P0104,WH005,GRN000829,2026-06-13,329,10200.58,Sellable,3355990.82,66,61-90,Slow Moving
INV000198,P0105,WH007,GRN001246,2026-07-31,261,1119.96,Sellable,292309.56,18,0-30,Healthy
INV000199,P0106,WH001,GRN002076,2026-08-05,492,9712.15,Sellable,4778377.8,13,0-30,Healthy
INV000200,P0107,WH005,GRN000465,2026-06-12,451,4454.5,Sellable,2008979.5,67,61-90,Slow Moving
INV000201,P0107,WH008,GRN001726,2026-03-30,293,4461.97,Sellable,1307357.21,141,91-180,Slow Moving
INV000202,P0108,WH007,GRN001961,2026-07-31,111,8409.58,Sellable,933463.38,18,0-30,Healthy
INV000203,P0108,WH001,GRN001353,2026-06-16,639,8376.08,Sellable,5352315.12,63,61-90,Slow Moving
INV000204,P0109,WH004,GRN001217,2026-08-13,582,5289.19,Sellable,3078308.58,5,0-30,Healthy
INV000205,P0109,WH001,GRN001851,2026-08-18,355,5483.31,Sellable,1946575.05,0,0-30,Healthy
INV000206,P0109,WH006,GRN001806,2025-11-12,840,5488.03,Sellable,4609945.2,279,181-365,Non Moving
INV000207,P0110,WH002,GRN002152,2026-07-26,76,6704.94,Sellable,509575.44,23,0-30,Healthy
INV000208,P0110,WH003,GRN002441,2026-07-19,400,7016.94,Sellable,2806776.0,30,0-30,Healthy
INV000209,P0111,WH003,GRN000955,2026-06-19,644,9199.8,Sellable,5924671.2,60,31-60,Healthy
INV000210,P0112,WH003,GRN002140,2026-06-19,246,4903.42,Sellable,1206241.32,60,31-60,Healthy
INV000211,P0112,WH008,GRN001044,2026-08-12,698,5076.79,Sellable,3543599.42,6,0-30,Healthy
INV000212,P0113,WH004,GRN001085,2026-08-07,493,6378.75,Sellable,3144723.75,11,0-30,Healthy
INV000213,P0114,WH003,GRN001600,2026-07-25,243,11982.22,Sellable,2911679.46,24,0-30,Healthy
INV000214,P0114,WH008,GRN000390,2026-08-15,309,12219.61,Sellable,3775859.49,3,0-30,Healthy
INV000215,P0114,WH004,GRN000690,2026-06-11,89,11894.33,Sellable,1058595.37,68,61-90,Slow Moving
INV000216,P0115,WH003,GRN001435,2026-04-06,178,6201.23,Sellable,1103818.94,134,91-180,Slow Moving
INV000217,P0115,WH005,GRN001707,2026-08-12,256,6460.6,Sellable,1653913.6,6,0-30,Healthy
INV000218,P0115,WH004,GRN001978,2026-08-14,107,6666.92,Sellable,713360.44,4,0-30,Healthy
INV000219,P0116,WH005,GRN001196,2026-04-30,786,7008.81,Sellable,5508924.66,110,91-180,Slow Moving
INV000220,P0117,WH006,GRN002398,2026-04-01,255,7410.79,Sellable,1889751.45,139,91-180,Slow Moving
INV000221,P0117,WH008,GRN002478,2026-07-10,287,7672.71,Sellable,2202067.77,39,31-60,Healthy
INV000222,P0117,WH003,GRN002448,2026-01-13,1408,7730.81,Sellable,10884980.48,217,181-365,Non Moving
INV000223,P0118,WH008,GRN000886,2025-11-08,606,7338.14,Sellable,4446912.84,283,181-365,Non Moving
INV000224,P0119,WH008,GRN000028,2026-02-10,1172,11714.26,Sellable,13729112.72,189,181-365,Non Moving
INV000225,P0119,WH004,GRN001242,2026-07-18,611,11899.85,Sellable,7270808.35,31,31-60,Healthy
INV000226,P0120,WH004,GRN001983,2026-08-09,686,3298.06,Sellable,2262469.16,9,0-30,Healthy
INV000227,P0120,WH006,GRN001021,2026-08-06,608,3445.38,Sellable,2094791.04,12,0-30,Healthy
INV000228,P0120,WH005,GRN001780,2026-06-07,142,3361.4,Sellable,477318.8,72,61-90,Slow Moving
INV000229,P0121,WH007,GRN001510,2026-08-13,140,4211.91,Sellable,589667.4,5,0-30,Healthy
INV000230,P0121,WH006,GRN001713,2026-06-05,559,4356.36,Sellable,2435205.24,74,61-90,Slow Moving
INV000231,P0122,WH003,GRN000922,2026-05-30,435,11825.87,Sellable,5144253.45,80,61-90,Slow Moving
INV000232,P0122,WH001,GRN001494,2026-08-07,210,11455.23,Sellable,2405598.3,11,0-30,Healthy
INV000233,P0123,WH007,GRN000093,2026-07-28,425,3944.02,Sellable,1676208.5,21,0-30,Healthy
INV000234,P0124,WH008,GRN000262,2026-06-07,620,2040.95,Sellable,1265389.0,72,61-90,Slow Moving
INV000235,P0124,WH006,GRN002055,2026-08-10,255,1988.83,Sellable,507151.65,8,0-30,Healthy
INV000236,P0124,WH001,GRN001941,2025-12-13,741,1981.39,Sellable,1468209.99,248,181-365,Non Moving
INV000237,P0125,WH006,GRN002174,2026-07-17,287,11571.98,Sellable,3321158.26,32,31-60,Healthy
INV000238,P0125,WH008,GRN001674,2026-05-13,1144,11303.42,Sellable,12931112.48,97,91-180,Slow Moving
INV000239,P0126,WH006,GRN000308,2026-07-12,631,11088.77,Sellable,6997013.87,37,31-60,Healthy
INV000240,P0126,WH004,GRN000249,2026-07-10,660,10964.6,Sellable,7236636.0,39,31-60,Healthy
INV000241,P0126,WH007,GRN001278,2026-07-20,337,10976.08,Sellable,3698938.96,29,0-30,Healthy
INV000242,P0127,WH008,GRN000437,2026-05-21,1070,385.93,Sellable,412945.1,89,61-90,Slow Moving
INV000243,P0128,WH001,GRN002313,2026-06-08,468,11937.49,Sellable,5586745.32,71,61-90,Slow Moving
INV000244,P0128,WH002,GRN001123,2025-11-12,888,11526.89,Sellable,10235878.32,279,181-365,Non Moving
INV000245,P0128,WH008,GRN002336,2026-07-27,57,11863.07,Sellable,676194.99,22,0-30,Healthy
INV000246,P0129,WH002,GRN002173,2026-05-11,1141,4818.89,Sellable,5498353.49,99,91-180,Slow Moving
INV000247,P0129,WH003,GRN000247,2026-07-10,49,4708.81,Sellable,230731.69,39,31-60,Healthy
INV000248,P0129,WH007,GRN002151,2026-07-26,697,4713.83,Sellable,3285539.51,23,0-30,Healthy
INV000249,P0130,WH003,GRN000253,2026-04-05,1076,10488.31,Sellable,11285421.56,135,91-180,Slow Moving
