sale_id,product_id,warehouse_id,sale_date,quantity_sold,selling_price,sales_amount
SAL0000091,P0016,WH002,2026-02-02,34,3864.55,131394.7
SAL0000092,P0021,WH006,2026-07-02,9,7447.62,67028.58
SAL0000093,P0077,WH004,2026-01-09,40,12721.04,508841.6
SAL0000094,P0042,WH006,2026-02-06,75,10059.55,754466.25
SAL0000095,P0054,WH002,2026-04-19,7,11936.62,83556.34
SAL0000096,P0032,WH001,2025-12-27,30,4077.66,122329.8
SAL0000097,P0114,WH002,2026-01-02,66,17232.19,1137324.54
SAL0000098,P0038,WH004,2025-11-07,30,3005.11,90153.3
SAL0000099,P0114,WH001,2025-09-10,68,17232.19,1171788.92
SAL0000100,P0110,WH001,2026-06-15,58,8117.34,470805.72
SAL0000101,P0103,WH001,2026-01-25,55,12534.03,689371.65
SAL0000102,P0077,WH003,2026-05-31,14,12721.04,178094.56
SAL0000103,P0140,WH004,2025-12-06,77,9565.42,736537.34
SAL0000104,P0053,WH003,2026-06-01,77,4950.69,381203.13
SAL0000105,P0121,WH006,2026-07-26,77,5450.85,419715.45
SAL0000106,P0003,WH001,2026-07-09,37,10805.71,399811.27
SAL0000107,P0054,WH003,2026-04-27,44,11936.62,525211.28
SAL0000108,P0040,WH002,2025-11-21,6,3922.35,23534.1
SAL0000109,P0068,WH003,2025-09-21,26,7651.09,198928.34
SAL0000110,P0114,WH005,2025-11-21,14,17232.19,241250.66
SAL0000111,P0130,WH006,2025-08-14,8,14491.67,115933.36
SAL0000112,P0042,WH001,2025-12-09,24,10059.55,241429.2
SAL0000113,P0094,WH001,2026-01-03,39,4499.9,175496.1
SAL0000114,P0149,WH007,2026-02-26,49,2329.78,114159.22
SAL0000115,P0101,WH008,2026-06-14,63,7703.08,485294.04
SAL0000116,P0124,WH006,2026-05-05,26,3098.15,80551.9
SAL0000117,P0002,WH006,2026-04-10,10,1611.45,16114.5
SAL0000118,P0091,WH004,2025-12-19,77,10637.54,819090.58
SAL0000119,P0059,WH002,2026-05-23,58,11103.0,643974.0
SAL0000120,P0098,WH007,2025-09-15,14,8703.81,121853.34
SAL0000121,P0016,WH006,2026-07-24,73,3864.55,282112.15
SAL0000122,P0148,WH007,2025-12-01,71,3215.0,228265.0
SAL0000123,P0016,WH006,2025-08-30,39,3864.55,150717.45
SAL0000124,P0108,WH007,2026-05-03,31,9691.84,300447.04
SAL0000125,P0023,WH004,2026-03-27,50,3399.02,169951.0
SAL0000126,P0042,WH006,2025-09-05,16,10059.55,160952.8
SAL0000127,P0037,WH003,2026-02-06,72,1839.84,132468.48
SAL0000128,P0072,WH005,2026-05-09,51,2337.16,119195.16
SAL0000129,P0134,WH005,2026-05-13,15,4427.4,66411.0
SAL0000130,P0116,WH005,2025-10-25,38,9441.89,358791.82
SAL0000131,P0150,WH006,2026-04-27,79,11200.18,884814.22
SAL0000132,P0006,WH007,2025-08-15,71,5888.41,418077.11
SAL0000133,P0032,WH005,2025-10-24,72,4077.66,293591.52
SAL0000134,P0145,WH002,2026-04-08,21,10988.78,230764.38
SAL0000135,P0038,WH003,2026-06-28,16,3005.11,48081.76
SAL0000136,P0145,WH005,2025-11-03,67,10988.78,736248.26
SAL0000137,P0037,WH001,2025-08-02,65,1839.84,119589.6
SAL0000138,P0061,WH006,2025-09-09,13,685.7,8914.1
SAL0000139,P0077,WH003,2026-03-07,64,12721.04,814146.56
SAL0000140,P0127,WH002,2025-11-12,61,600.7,36642.7
SAL0000141,P0086,WH005,2026-01-05,32,6177.93,197693.76
SAL0000142,P0007,WH002,2026-07-02,12,542.22,6506.64
SAL0000143,P0150,WH006,2026-05-25,41,11200.18,459207.38
SAL0000144,P0085,WH005,2025-12-31,66,1427.09,94187.94
SAL0000145,P0006,WH001,2026-05-08,8,5888.41,47107.28
SAL0000146,P0142,WH003,2026-02-03,59,10972.07,647352.13
SAL0000147,P0144,WH007,2026-02-27,25,13859.79,346494.75
SAL0000148,P0003,WH001,2026-04-23,5,10805.71,54028.55
SAL0000149,P0137,WH005,2026-05-06,45,410.1,18454.5
SAL0000150,P0047,WH004,2025-08-24,2,12742.54,25485.08
SAL0000151,P0085,WH008,2026-06-18,42,1427.09,59937.78
SAL0000152,P0094,WH003,2026-07-24,38,4499.9,170996.2
SAL0000153,P0023,WH002,2026-06-04,3,3399.02,10197.06
SAL0000154,P0003,WH005,2025-11-14,46,10805.71,497062.66
SAL0000155,P0129,WH001,2026-08-11,22,5306.75,116748.5
SAL0000156,P0067,WH006,2026-04-14,33,486.56,16056.48
SAL0000157,P0071,WH007,2025-10-21,32,10220.28,327048.96
SAL0000158,P0131,WH004,2026-06-24,17,332.15,5646.55
SAL0000159,P0067,WH007,2026-03-27,56,486.56,27247.36
SAL0000160,P0055,WH006,2026-03-06,3,14208.97,42626.91
SAL0000161,P0132,WH005,2025-10-17,70,17778.84,1244518.8
SAL0000162,P0031,WH008,2026-07-21,49,3886.37,190432.13
SAL0000163,P0066,WH002,2025-09-17,55,4517.29,248450.95
SAL0000164,P0101,WH001,2025-12-03,77,7703.08,593137.16
SAL0000165,P0064,WH003,2026-05-21,31,6359.37,197140.47
SAL0000166,P0031,WH004,2026-02-03,21,3886.37,81613.77
SAL0000167,P0117,WH005,2025-12-27,16,10971.0,175536.0
SAL0000168,P0066,WH005,2026-03-28,17,4517.29,76793.93
SAL0000169,P0047,WH005,2026-02-14,1,12742.54,12742.54
SAL0000170,P0022,WH005,2026-07-16,72,12421.92,894378.24
SAL0000171,P0094,WH001,2025-08-08,65,4499.9,292493.5
SAL0000172,P0083,WH003,2025-09-10,66,2819.78,186105.48
SAL0000173,P0046,WH002,2026-02-08,37,4393.97,162576.89
SAL0000174,P0089,WH004,2026-06-16,24,7891.09,189386.16
SAL0000175,P0119,WH007,2025-11-04,62,15091.44,935669.28
SAL0000176,P0046,WH008,2026-03-06,21,4393.97,92273.37
SAL0000177,P0001,WH005,2025-10-18,37,11805.32,436796.84
SAL0000178,P0096,WH006,2026-06-01,35,13787.01,482545.35
SAL0000179,P0061,WH005,2026-07-15,38,685.7,26056.6
SAL0000180,P0105,WH003,2025-09-29,53,1294.66,68616.98
SAL0000181,P0081,WH003,2025-10-20,15,2089.55,31343.25
SAL0000182,P0014,WH008,2025-11-25,42,9958.36,418251.12
SAL0000183,P0045,WH001,2025-08-02,4,7353.86,29415.44
SAL0000184,P0077,WH001,2026-04-19,39,12721.04,496120.56
SAL0000185,P0066,WH006,2025-08-09,79,4517.29,356865.91
SAL0000186,P0032,WH006,2026-04-14,23,4077.66,93786.18
SAL0000187,P0096,WH001,2026-03-22,15,13787.01,206805.15
SAL0000188,P0058,WH004,2025-12-23,12,5550.94,66611.28
SAL0000189,P0104,WH006,2025-08-30,70,13530.23,947116.1
SAL0000190,P0056,WH001,2025-08-06,54,189.21,10217.34
SAL0000191,P0134,WH005,2025-10-25,38,4427.4,168241.2
SAL0000192,P0067,WH001,2025-09-21,28,486.56,13623.68
SAL0000193,P0118,WH007,2026-03-29,79,9694.84,765892.36
SAL0000194,P0038,WH004,2026-04-26,19,3005.11,57097.09
SAL0000195,P0131,WH001,2026-06-24,69,332.15,22918.35
SAL0000196,P0112,WH001,2026-02-22,64,7497.58,479845.12
SAL0000197,P0133,WH005,2025-08-27,4,10911.61,43646.44
SAL0000198,P0054,WH006,2025-11-13,10,11936.62,119366.2
SAL0000199,P0034,WH005,2025-12-19,12,12148.61,145783.32
SAL0000200,P0039,WH007,2026-05-23,69,10521.02,725950.38
SAL0000201,P0112,WH007,2025-12-24,7,7497.58,52483.06
SAL0000202,P0088,WH008,2025-09-01,44,673.42,29630.48
SAL0000203,P0048,WH005,2025-12-30,23,5653.52,130030.96
SAL0000204,P0049,WH001,2025-09-16,2,8075.59,16151.18
SAL0000205,P0034,WH005,2026-07-29,37,12148.61,449498.57
SAL0000206,P0100,WH003,2025-10-12,69,937.89,64714.41
SAL0000207,P0135,WH002,2026-08-08,20,13819.48,276389.6
SAL0000208,P0018,WH002,2025-10-14,44,1249.34,54970.96
SAL0000209,P0070,WH005,2025-10-08,70,13711.66,959816.2
SAL0000210,P0114,WH006,2025-08-27,74,17232.19,1275182.06
SAL0000211,P0034,WH004,2026-02-10,51,12148.61,619579.11
SAL0000212,P0051,WH007,2026-03-24,31,7869.03,243939.93
SAL0000213,P0105,WH005,2026-04-06,41,1294.66,53081.06
SAL0000214,P0093,WH006,2026-03-26,58,14803.06,858577.48
SAL0000215,P0142,WH005,2026-02-12,5,10972.07,54860.35
SAL0000216,P0069,WH001,2025-09-19,33,4228.28,139533.24
SAL0000217,P0089,WH007,2026-01-25,43,7891.09,339316.87
SAL0000218,P0103,WH007,2026-01-07,19,12534.03,238146.57
SAL0000219,P0136,WH006,2025-12-01,32,9626.15,308036.8
SAL0000220,P0143,WH007,2026-04-20,3,13992.71,41978.13
SAL0000221,P0083,WH004,2025-11-19,1,2819.78,2819.78
SAL0000222,P0011,WH005,2026-05-01,41,12266.95,502944.95
SAL0000223,P0148,WH003,2025-08-18,48,3215.0,154320.0
SAL0000224,P0036,WH006,2026-01-11,39,11599.04,452362.56
SAL0000225,P0082,WH002,2025-12-27,5,11631.72,58158.6
SAL0000226,P0142,WH006,2026-01-28,77,10972.07,844849.39
SAL0000227,P0038,WH008,2026-02-17,11,3005.11,33056.21
SAL0000228,P0089,WH003,2025-11-21,22,7891.09,173603.98
SAL0000229,P0001,WH007,2025-12-30,64,11805.32,755540.48
SAL0000230,P0104,WH008,2026-05-05,12,13530.23,162362.76
SAL0000231,P0065,WH003,2025-12-21,53,8713.96,461839.88
SAL0000232,P0001,WH007,2026-07-06,55,11805.32,649292.6
SAL0000233,P0125,WH003,2026-04-01,53,13379.19,709097.07
SAL0000234,P0060,WH004,2026-07-29,21,5035.5,105745.5
SAL0000235,P0025,WH004,2025-11-30,19,7089.85,134707.15
SAL0000236,P0091,WH006,2026-05-08,69,10637.54,733990.26
SAL0000237,P0138,WH008,2026-06-23,72,14687.9,1057528.8
SAL0000238,P0050,WH004,2026-07-31,66,4526.14,298725.24
SAL0000239,P0140,WH002,2025-11-24,59,9565.42,564359.78
SAL0000240,P0092,WH008,2026-07-05,49,11125.06,545127.94
SAL0000241,P0032,WH007,2025-09-01,59,4077.66,240581.94
SAL0000242,P0033,WH001,2025-09-22,23,14261.13,328005.99
SAL0000243,P0026,WH006,2025-10-20,3,3320.79,9962.37
SAL0000244,P0042,WH005,2025-12-31,56,10059.55,563334.8
SAL0000245,P0061,WH005,2025-12-31,58,685.7,39770.6
SAL0000246,P0041,WH006,2026-04-22,62,9233.93,572503.66
SAL0000247,P0130,WH001,2026-05-04,18,14491.67,260850.06
SAL0000248,P0099,WH005,2026-05-05,61,12570.46,766798.06
SAL0000249,P0098,WH006,2025-09-22,37,8703.81,322040.97
SAL0000250,P0031,WH006,2026-08-08,54,3886.37,209863.98
SAL0000251,P0115,WH003,2025-12-25,78,7832.13,610906.14
SAL0000252,P0147,WH002,2026-07-21,65,826.55,53725.75
SAL0000253,P0048,WH008,2026-04-16,14,5653.52,79149.28
SAL0000254,P0002,WH005,2025-10-13,5,1611.45,8057.25
SAL0000255,P0139,WH002,2025-08-17,62,16335.66,1012810.92
SAL0000256,P0101,WH007,2026-01-17,1,7703.08,7703.08
SAL0000257,P0128,WH006,2025-09-30,63,14193.47,894188.61
SAL0000258,P0059,WH001,2026-05-11,67,11103.0,743901.0
SAL0000259,P0120,WH006,2025-09-02,20,4392.45,87849.0
SAL0000260,P0038,WH005,2025-11-26,43,3005.11,129219.73
SAL0000261,P0107,WH002,2026-07-11,42,6158.26,258646.92
SAL0000262,P0021,WH003,2025-08-01,69,7447.62,513885.78
SAL0000263,P0042,WH008,2026-08-01,74,10059.55,744406.7
SAL0000264,P0137,WH003,2026-06-06,39,410.1,15993.9
SAL0000265,P0140,WH006,2025-12-22,62,9565.42,593056.04
SAL0000266,P0010,WH001,2026-02-23,48,12927.18,620504.64
SAL0000267,P0133,WH007,2026-06-13,6,10911.61,65469.66
SAL0000268,P0033,WH008,2026-02-09,74,14261.13,1055323.62
SAL0000269,P0069,WH004,2026-07-22,42,4228.28,177587.76
SAL0000270,P0080,WH005,2025-09-23,58,12953.94,751328.52
SAL0000271,P0101,WH006,2025-11-11,43,7703.08,331232.44
SAL0000272,P0029,WH003,2026-03-13,10,5999.79,59997.9
SAL0000273,P0146,WH003,2026-06-27,78,12971.8,1011800.4
SAL0000274,P0134,WH001,2025-12-22,39,4427.4,172668.6
SAL0000275,P0053,WH003,2026-06-30,13,4950.69,64358.97
SAL0000276,P0124,WH005,2025-08-13,75,3098.15,232361.25
SAL0000277,P0042,WH001,2025-12-23,39,10059.55,392322.45
SAL0000278,P0047,WH002,2025-11-09,11,12742.54,140167.94
SAL0000279,P0011,WH001,2025-08-30,16,12266.95,196271.2
SAL0000280,P0083,WH007,2025-10-03,33,2819.78,93052.74
SAL0000281,P0109,WH005,2026-08-12,60,6650.85,399051.0
SAL0000282,P0027,WH007,2025-08-20,59,9782.53,577169.27
SAL0000283,P0062,WH005,2026-01-02,74,4668.52,345470.48
SAL0000284,P0148,WH002,2026-02-08,51,3215.0,163965.0
SAL0000285,P0131,WH006,2025-08-26,15,332.15,4982.25
SAL0000286,P0144,WH001,2025-08-08,43,13859.79,595970.97
SAL0000287,P0103,WH005,2025-08-24,27,12534.03,338418.81
SAL0000288,P0044,WH005,2025-11-07,56,11696.79,655020.24
SAL0000289,P0093,WH002,2026-02-17,60,14803.06,888183.6
SAL0000290,P0030,WH004,2026-01-24,70,11747.59,822331.3
SAL0000291,P0119,WH001,2026-08-13,47,15091.44,709297.68
SAL0000292,P0029,WH008,2026-05-08,8,5999.79,47998.32
SAL0000293,P0030,WH005,2026-07-11,63,11747.59,740098.17
SAL0000294,P0104,WH003,2026-01-24,7,13530.23,94711.61
SAL0000295,P0110,WH002,2026-06-19,2,8117.34,16234.68
SAL0000296,P0032,WH004,2026-04-01,17,4077.66,69320.22
SAL0000297,P0138,WH004,2025-11-02,4,14687.9,58751.6
SAL0000298,P0051,WH002,2026-01-13,26,7869.03,204594.78
SAL0000299,P0136,WH004,2026-04-09,78,9626.15,750839.7
SAL0000300,P0036,WH005,2025-11-08,72,11599.04,835130.88
SAL0000301,P0055,WH004,2025-10-24,69,14208.97,980418.93
SAL0000302,P0036,WH001,2025-10-18,5,11599.04,57995.2
SAL0000303,P0056,WH008,2025-10-20,5,189.21,946.05
SAL0000304,P0036,WH003,2025-09-16,69,11599.04,800333.76
SAL0000305,P0089,WH008,2026-04-19,3,7891.09,23673.27
SAL0000306,P0062,WH008,2026-02-03,38,4668.52,177403.76
SAL0000307,P0109,WH005,2025-10-07,1,6650.85,6650.85
SAL0000308,P0087,WH002,2026-05-05,8,12269.88,98159.04
SAL0000309,P0064,WH003,2026-01-28,13,6359.37,82671.81
SAL0000310,P0057,WH006,2026-06-22,70,1071.29,74990.3
SAL0000311,P0113,WH005,2025-08-29,50,8027.64,401382.0
SAL0000312,P0070,WH003,2026-04-21,8,13711.66,109693.28
SAL0000313,P0020,WH004,2026-04-12,30,13830.77,414923.1
SAL0000314,P0054,WH006,2025-09-13,40,11936.62,477464.8
SAL0000315,P0001,WH002,2025-08-17,79,11805.32,932620.28
SAL0000316,P0090,WH002,2025-12-24,74,12387.89,916703.86
SAL0000317,P0138,WH008,2026-08-02,33,14687.9,484700.7
SAL0000318,P0113,WH001,2026-03-03,73,8027.64,586017.72
SAL0000319,P0013,WH004,2026-07-03,52,5230.23,271971.96
SAL0000320,P0110,WH008,2026-01-29,33,8117.34,267872.22
SAL0000321,P0091,WH001,2025-08-21,73,10637.54,776540.42
SAL0000322,P0095,WH001,2025-12-04,78,16693.57,1302098.46
SAL0000323,P0043,WH004,2026-07-25,37,15848.89,586408.93
SAL0000324,P0138,WH005,2026-07-12,70,14687.9,1028153.0
SAL0000325,P0074,WH006,2025-10-08,69,10068.76,694744.44
SAL0000326,P0014,WH007,2026-07-21,4,9958.36,39833.44
SAL0000327,P0099,WH001,2026-07-08,60,12570.46,754227.6
SAL0000328,P0109,WH003,2025-09-05,74,6650.85,492162.9
SAL0000329,P0145,WH006,2026-07-09,31,10988.78,340652.18
SAL0000330,P0149,WH005,2026-04-02,14,2329.78,32616.92
SAL0000331,P0096,WH008,2026-01-21,77,13787.01,1061599.77
SAL0000332,P0058,WH004,2026-04-18,60,5550.94,333056.4
SAL0000333,P0136,WH002,2025-09-08,68,9626.15,654578.2
SAL0000334,P0096,WH005,2025-12-20,26,13787.01,358462.26
SAL0000335,P0038,WH008,2025-09-11,24,3005.11,72122.64
SAL0000336,P0064,WH001,2025-09-27,56,6359.37,356124.72
SAL0000337,P0009,WH003,2026-07-21,9,13538.59,121847.31
SAL0000338,P0121,WH008,2026-08-15,35,5450.85,190779.75
SAL0000339,P0032,WH006,2026-06-19,79,4077.66,322135.14
SAL0000340,P0011,WH004,2026-08-13,24,12266.95,294406.8
SAL0000341,P0105,WH002,2025-12-13,31,1294.66,40134.46
SAL0000342,P0146,WH006,2026-05-04,66,12971.8,856138.8
SAL0000343,P0147,WH003,2025-10-04,66,826.55,54552.3
SAL0000344,P0082,WH007,2026-04-23,41,11631.72,476900.52
SAL0000345,P0037,WH002,2026-05-21,36,1839.84,66234.24
SAL0000346,P0082,WH004,2026-05-08,34,11631.72,395478.48
SAL0000347,P0012,WH006,2025-11-26,39,14129.48,551049.72
SAL0000348,P0004,WH005,2026-06-13,23,1797.79,41349.17
SAL0000349,P0043,WH001,2026-03-17,44,15848.89,697351.16
SAL0000350,P0051,WH004,2025-09-12,70,7869.03,550832.1
SAL0000351,P0005,WH008,2026-01-25,58,8142.68,472275.44
SAL0000352,P0134,WH003,2026-04-07,59,4427.4,261216.6
SAL0000353,P0087,WH005,2026-07-08,26,12269.88,319016.88
SAL0000354,P0106,WH006,2026-02-20,22,12961.82,285160.04
SAL0000355,P0056,WH002,2026-06-04,40,189.21,7568.4
SAL0000356,P0110,WH005,2026-06-12,11,8117.34,89290.74
SAL0000357,P0068,WH005,2025-09-06,9,7651.09,68859.81
SAL0000358,P0096,WH003,2026-04-25,12,13787.01,165444.12
SAL0000359,P0044,WH001,2025-09-20,26,11696.79,304116.54
SAL0000360,P0143,WH007,2025-08-01,38,13992.71,531722.98
SAL0000361,P0090,WH008,2025-10-03,3,12387.89,37163.67
SAL0000362,P0042,WH008,2026-02-02,15,10059.55,150893.25
SAL0000363,P0139,WH005,2026-02-06,47,16335.66,767776.02
SAL0000364,P0073,WH005,2026-03-23,5,1439.34,7196.7
SAL0000365,P0011,WH001,2025-10-06,54,12266.95,662415.3
SAL0000366,P0058,WH001,2026-03-29,24,5550.94,133222.56
SAL0000367,P0128,WH002,2026-07-23,11,14193.47,156128.17
SAL0000368,P0021,WH006,2026-02-28,33,7447.62,245771.46
SAL0000369,P0021,WH008,2025-10-04,74,7447.62,551123.88
SAL0000370,P0072,WH002,2025-10-06,57,2337.16,133218.12
SAL0000371,P0129,WH001,2026-04-10,52,5306.75,275951.0
SAL0000372,P0102,WH007,2026-08-10,64,11449.48,732766.72
SAL0000373,P0013,WH004,2025-08-13,43,5230.23,224899.89
SAL0000374,P0073,WH001,2025-08-21,44,1439.34,63330.96
SAL0000375,P0006,WH002,2026-02-28,36,5888.41,211982.76
SAL0000376,P0112,WH003,2025-09-23,12,7497.58,89970.96
SAL0000377,P0017,WH003,2026-07-10,56,12869.16,720672.96
SAL0000378,P0073,WH006,2026-06-01,3,1439.34,4318.02
SAL0000379,P0012,WH005,2026-05-14,50,14129.48,706474.0
SAL0000380,P0086,WH007,2026-08-03,29,6177.93,179159.97
SAL0000381,P0122,WH003,2026-01-12,77,17772.54,1368485.58
SAL0000382,P0070,WH002,2025-11-28,16,13711.66,219386.56
SAL0000383,P0108,WH003,2026-06-06,40,9691.84,387673.6
SAL0000384,P0052,WH007,2026-04-10,27,1381.73,37306.71
SAL0000385,P0037,WH007,2026-02-14,70,1839.84,128788.8
SAL0000386,P0117,WH004,2025-11-23,42,10971.0,460782.0
SAL0000387,P0003,WH001,2026-01-28,57,10805.71,615925.47
SAL0000388,P0008,WH001,2026-01-15,10,13511.51,135115.1
SAL0000389,P0138,WH002,2025-10-28,38,14687.9,558140.2
SAL0000390,P0047,WH005,2026-05-16,8,12742.54,101940.32
SAL0000391,P0064,WH007,2026-02-07,18,6359.37,114468.66
SAL0000392,P0042,WH001,2026-02-11,17,10059.55,171012.35
SAL0000393,P0043,WH008,2026-01-30,58,15848.89,919235.62
SAL0000394,P0125,WH003,2026-02-09,66,13379.19,883026.54
SAL0000395,P0137,WH007,2026-01-06,44,410.1,18044.4
SAL0000396,P0014,WH004,2026-06-27,74,9958.36,736918.64
SAL0000397,P0091,WH008,2026-05-23,9,10637.54,95737.86
SAL0000398,P0132,WH005,2025-12-09,48,17778.84,853384.32
SAL0000399,P0002,WH005,2025-09-16,39,1611.45,62846.55
SAL0000400,P0115,WH005,2026-05-04,6,7832.13,46992.78
SAL0000401,P0001,WH008,2026-03-17,30,11805.32,354159.6
SAL0000402,P0075,WH001,2025-11-17,74,11640.25,861378.5
SAL0000403,P0065,WH006,2026-04-23,18,8713.96,156851.28
SAL0000404,P0125,WH005,2026-08-13,43,13379.19,575305.17
SAL0000405,P0135,WH008,2025-12-11,33,13819.48,456042.84
SAL0000406,P0066,WH008,2026-07-03,53,4517.29,239416.37
SAL0000407,P0143,WH002,2025-09-02,56,13992.71,783591.76
SAL0000408,P0072,WH003,2025-11-04,19,2337.16,44406.04
SAL0000409,P0116,WH006,2026-01-30,69,9441.89,651490.41
SAL0000410,P0121,WH004,2026-06-27,26,5450.85,141722.1
