product_id,product_name,category,vendor_id,unit_cost,selling_price,shelf_life_days
P0120,Snacks 120,Grocery,V021,3386.38,4392.45,180
P0121,Tea 121,Grocery,V008,4291.96,5450.85,60
P0122,Snacks 122,Grocery,V005,11694.79,17772.54,90
P0123,T-Shirt 123,Fashion,V009,3769.57,5568.28,180
P0124,Slippers 124,Footwear,V016,2018.39,3098.15,730
P0125,Trimmer 125,Beauty,V006,11401.61,13379.19,365
P0126,Bluetooth Speaker 126,Electronics,V010,11198.12,16061.16,60
P0127,Trimmer 127,Beauty,V005,394.29,600.7,30
P0128,T-Shirt 128,Fashion,V018,11848.33,14193.47,30
P0129,Trimmer 129,Beauty,V026,4620.22,5306.75,730
P0130,Moisturizer 130,Beauty,V017,10072.88,14491.67,60
P0131,Power Bank 131,Electronics,V001,242.97,332.15,730
P0132,Coffee 132,Grocery,V005,11996.63,17778.84,730
P0133,Trimmer 133,Beauty,V023,9246.33,10911.61,365
P0134,Cooker 134,Home,V019,3028.39,4427.4,730
P0135,Mouse 135,Electronics,V001,11452.29,13819.48,365
P0136,Cooking Oil 136,Grocery,V001,8086.67,9626.15,60
P0137,Spices 137,Grocery,V008,344.44,410.1,60
P0138,Bedsheet 138,Home,V022,9989.95,14687.9,60
P0139,Coffee 139,Grocery,V022,11618.25,16335.66,730
P0140,Jacket 140,Fashion,V025,7112.27,9565.42,365
P0141,Casual Shoes 141,Footwear,V011,2618.53,3336.79,730
P0142,Tea 142,Grocery,V006,7328.41,10972.07,60
P0143,Jacket 143,Fashion,V019,10857.57,13992.71,180
P0144,Mouse 144,Electronics,V001,9421.14,13859.79,180
P0145,Jeans 145,Fashion,V019,8395.89,10988.78,365
P0146,Tea 146,Grocery,V024,10117.73,12971.8,30
P0147,Snacks 147,Grocery,V024,626.67,826.55,730
P0148,Casual Shoes 148,Footwear,V013,2572.84,3215.0,90
P0149,Moisturizer 149,Beauty,V015,1616.25,2329.78,90
P0150,Shirt 150,Fashion,V008,8382.3,11200.18,30
