grn_id,product_id,vendor_id,warehouse_id,grn_date,quantity,unit_cost,grn_status
PUR000091,P0123,V009,WH007,2025-11-06,458,3878.12,Received
PUR000092,P0147,V024,WH005,2026-05-05,854,641.48,Received
PUR000093,P0051,V018,WH005,2026-04-02,246,6733.66,Received
PUR000094,P0011,V021,WH006,2026-05-06,461,10683.98,Received
PUR000095,P0012,V020,WH003,2025-08-15,415,10228.57,Received
PUR000096,P0074,V030,WH003,2026-06-10,747,8623.07,Received
PUR000097,P0008,V004,WH008,2026-05-20,103,11285.8,Received
PUR000098,P0041,V003,WH004,2026-07-17,1056,7958.66,Received
PUR000099,P0085,V023,WH008,2025-11-12,712,918.66,Received
PUR000100,P0072,V016,WH002,2026-05-27,512,1932.67,Received
PUR000101,P0055,V026,WH002,2025-12-02,1163,9938.18,Received
PUR000102,P0137,V008,WH008,2026-08-01,989,353.47,Received
PUR000103,P0047,V012,WH003,2026-04-03,372,11807.44,Received
PUR000104,P0143,V019,WH002,2026-07-16,1100,10723.55,Received
PUR000105,P0104,V009,WH007,2025-11-29,59,10219.04,Received
PUR000106,P0042,V019,WH003,2025-09-02,659,7755.14,Received
PUR000107,P0060,V030,WH005,2025-12-09,192,3660.25,Received
PUR000108,P0012,V020,WH004,2026-03-22,278,10805.69,Received
PUR000109,P0130,V017,WH001,2025-10-06,536,10142.78,Received
PUR000110,P0007,V019,WH004,2025-09-20,749,460.81,Received
PUR000111,P0080,V027,WH008,2025-09-01,542,9939.48,Received
PUR000112,P0131,V001,WH003,2026-08-03,858,256.6,Received
PUR000113,P0109,V007,WH008,2026-02-21,136,5038.29,Received
PUR000114,P0003,V012,WH007,2025-12-24,203,7340.85,Received
PUR000115,P0027,V028,WH003,2026-02-20,1159,8589.93,Received
PUR000116,P0114,V012,WH004,2026-05-07,181,11833.83,Received
PUR000117,P0107,V004,WH007,2026-05-25,562,4645.53,Received
PUR000118,P0040,V004,WH007,2026-07-27,858,2916.93,Received
PUR000119,P0129,V026,WH007,2026-04-14,1109,4436.81,Received
PUR000120,P0008,V004,WH006,2026-06-16,1113,11274.07,Received
PUR000121,P0101,V023,WH003,2025-11-21,466,6799.4,Received
PUR000122,P0124,V016,WH002,2026-07-15,435,1986.68,Received
PUR000123,P0107,V004,WH002,2025-11-11,551,4490.54,Received
PUR000124,P0101,V023,WH003,2025-12-12,460,6865.06,Received
PUR000125,P0004,V003,WH003,2026-03-21,757,1442.27,Received
PUR000126,P0110,V028,WH006,2026-03-12,483,7215.34,Received
PUR000127,P0019,V030,WH002,2026-01-31,415,8197.54,Received
PUR000128,P0032,V028,WH003,2026-03-09,730,3237.64,Received
PUR000129,P0137,V008,WH003,2026-05-02,414,362.68,Received
PUR000130,P0012,V020,WH008,2026-05-07,345,10982.92,Received
PUR000131,P0139,V022,WH006,2026-02-09,1134,11566.98,Received
PUR000132,P0046,V016,WH006,2025-10-16,769,3515.39,Received
PUR000133,P0119,V010,WH004,2025-08-24,1113,11270.14,Received
PUR000134,P0016,V030,WH006,2025-10-12,661,2674.34,Received
PUR000135,P0129,V026,WH001,2025-12-26,233,4895.75,Received
PUR000136,P0063,V012,WH002,2026-06-26,388,7749.41,Received
PUR000137,P0109,V007,WH004,2026-08-07,68,5368.68,Received
PUR000138,P0119,V010,WH001,2025-10-17,1095,11284.34,Received
PUR000139,P0021,V002,WH003,2026-07-04,152,4757.51,Received
PUR000140,P0013,V028,WH008,2026-02-16,1018,4125.5,Received
PUR000141,P0004,V003,WH008,2025-12-13,805,1522.06,Received
PUR000142,P0102,V012,WH003,2026-07-02,392,8561.42,Received
PUR000143,P0059,V023,WH004,2026-01-07,498,8164.27,Received
PUR000144,P0128,V018,WH006,2025-09-11,851,12351.72,Received
PUR000145,P0027,V028,WH007,2026-04-23,669,7778.73,Partially Received
PUR000146,P0069,V015,WH008,2026-06-11,701,3033.32,Received
PUR000147,P0025,V006,WH007,2025-08-29,707,4718.35,Received
PUR000148,P0131,V001,WH003,2026-03-03,101,242.78,Received
PUR000149,P0097,V015,WH007,2025-08-04,106,1027.65,Received
PUR000150,P0025,V006,WH005,2025-11-11,244,5099.64,Received
PUR000151,P0148,V013,WH004,2026-07-18,35,2507.38,Received
PUR000152,P0126,V010,WH001,2025-12-01,841,11774.31,Received
PUR000153,P0133,V023,WH004,2026-05-25,182,9217.19,Received
PUR000154,P0009,V004,WH002,2026-06-22,533,11979.92,Received
PUR000155,P0116,V004,WH006,2026-03-19,369,6755.08,Received
PUR000156,P0134,V019,WH006,2025-11-16,700,3187.05,Received
PUR000157,P0060,V030,WH004,2026-04-25,1135,3322.85,Partially Received
PUR000158,P0121,V008,WH003,2026-04-01,200,4430.62,Received
PUR000159,P0139,V022,WH003,2026-08-10,762,12191.44,Received
PUR000160,P0108,V022,WH005,2025-08-22,679,8190.78,Received
PUR000161,P0108,V022,WH005,2026-06-02,512,8150.09,Received
PUR000162,P0131,V001,WH006,2026-02-22,942,242.17,Received
PUR000163,P0076,V030,WH005,2026-05-15,147,8237.73,Received
PUR000164,P0030,V028,WH008,2025-09-23,584,8929.23,Received
PUR000165,P0021,V002,WH008,2025-12-08,569,5019.5,Received
PUR000166,P0034,V003,WH001,2026-03-25,472,8137.7,Received
PUR000167,P0041,V003,WH005,2026-01-07,490,7523.5,Received
PUR000168,P0051,V018,WH001,2026-03-01,1007,6979.81,Received
PUR000169,P0082,V005,WH005,2026-01-03,757,7236.79,Received
PUR000170,P0058,V019,WH006,2026-03-07,243,4189.94,Received
PUR000171,P0075,V016,WH006,2026-07-10,173,10189.21,Received
PUR000172,P0023,V006,WH001,2025-09-26,579,2885.09,Received
PUR000173,P0128,V018,WH004,2026-05-19,370,12122.97,Received
PUR000174,P0150,V008,WH006,2025-10-19,1190,8035.75,Received
PUR000175,P0017,V024,WH004,2026-07-21,368,11505.27,Received
PUR000176,P0069,V015,WH003,2026-06-20,201,2964.99,Received
PUR000177,P0108,V022,WH008,2025-08-12,656,8747.25,Received
PUR000178,P0139,V022,WH001,2026-05-28,1037,11422.31,Received
PUR000179,P0094,V022,WH007,2026-03-13,198,3631.34,Received
PUR000180,P0015,V009,WH006,2026-07-30,1082,3772.17,Partially Received
PUR000181,P0091,V007,WH002,2026-06-04,791,6781.96,Received
PUR000182,P0033,V005,WH003,2025-10-12,913,11154.46,Received
PUR000183,P0125,V006,WH004,2026-03-30,1046,11211.09,Partially Received
PUR000184,P0016,V030,WH006,2025-12-09,1035,2789.88,Received
PUR000185,P0066,V024,WH001,2025-09-08,83,3200.51,Received
PUR000186,P0047,V012,WH007,2026-07-04,48,11580.35,Received
PUR000187,P0148,V013,WH005,2025-12-29,391,2480.48,Received
PUR000188,P0124,V016,WH007,2026-07-17,116,2011.91,Received
PUR000189,P0001,V007,WH002,2025-12-01,1012,7662.01,Received
PUR000190,P0087,V004,WH004,2026-02-23,40,8608.79,Received
PUR000191,P0128,V018,WH003,2026-07-28,754,11597.43,Received
PUR000192,P0067,V026,WH007,2025-10-06,1145,400.14,Received
PUR000193,P0004,V003,WH001,2026-04-20,1089,1577.98,Received
PUR000194,P0047,V012,WH002,2025-10-26,85,10969.72,Received
PUR000195,P0038,V018,WH001,2026-07-29,622,2031.82,Received
PUR000196,P0143,V019,WH006,2026-08-01,1154,10419.46,Received
PUR000197,P0021,V002,WH005,2026-06-03,357,4945.05,Received
PUR000198,P0057,V001,WH003,2026-07-04,142,951.97,Received
PUR000199,P0117,V015,WH001,2025-08-07,466,7753.31,Received
PUR000200,P0046,V016,WH004,2026-05-19,630,3490.95,Received
PUR000201,P0142,V006,WH006,2025-08-12,690,7189.75,Received
PUR000202,P0145,V019,WH006,2025-12-09,634,8325.22,Received
PUR000203,P0039,V003,WH003,2025-08-28,916,7547.72,Received
PUR000204,P0137,V008,WH006,2025-10-02,300,354.46,Received
PUR000205,P0099,V023,WH004,2026-07-26,1086,9444.03,Received
PUR000206,P0077,V005,WH001,2026-02-06,615,10947.03,Received
PUR000207,P0115,V016,WH003,2026-03-21,722,6226.13,Partially Received
PUR000208,P0134,V019,WH008,2026-03-26,1094,2985.05,Received
PUR000209,P0091,V007,WH006,2025-11-18,229,6907.42,Received
PUR000210,P0098,V025,WH006,2025-12-14,145,6365.05,Received
PUR000211,P0120,V021,WH004,2025-10-21,511,3344.1,Received
PUR000212,P0046,V016,WH005,2026-04-18,979,3558.27,Received
PUR000213,P0038,V018,WH005,2026-03-16,989,2094.08,Received
PUR000214,P0142,V006,WH007,2026-06-29,600,7379.74,Received
PUR000215,P0100,V026,WH006,2026-04-02,796,766.18,Received
PUR000216,P0072,V016,WH008,2026-07-04,277,1879.2,Received
PUR000217,P0035,V024,WH001,2025-12-23,249,11160.28,Received
PUR000218,P0147,V024,WH003,2026-08-05,208,596.23,Received
PUR000219,P0030,V028,WH006,2026-05-08,29,9320.66,Received
PUR000220,P0078,V019,WH002,2025-11-09,1157,6100.56,Received
PUR000221,P0084,V014,WH003,2026-07-29,1119,293.52,Received
PUR000222,P0113,V024,WH007,2026-01-06,695,6707.69,Received
PUR000223,P0025,V006,WH005,2026-04-21,521,4605.26,Received
PUR000224,P0088,V029,WH008,2025-12-14,104,554.74,Received
PUR000225,P0014,V025,WH006,2026-01-12,68,7881.46,Received
PUR000226,P0102,V012,WH004,2025-09-01,857,8067.04,Received
PUR000227,P0150,V008,WH002,2025-11-25,1027,8358.64,Received
PUR000228,P0083,V011,WH006,2025-10-15,708,2466.33,Received
PUR000229,P0110,V028,WH008,2026-01-07,406,7098.61,Received
PUR000230,P0131,V001,WH007,2026-04-05,989,230.84,Partially Received
PUR000231,P0019,V030,WH001,2025-11-12,1025,8824.54,Received
PUR000232,P0028,V019,WH002,2026-01-03,237,4100.96,Received
PUR000233,P0071,V022,WH007,2025-08-09,1024,8568.61,Received
PUR000234,P0063,V012,WH006,2026-02-26,274,7347.11,Received
PUR000235,P0073,V014,WH001,2025-09-17,255,1120.41,Received
PUR000236,P0124,V016,WH002,2026-01-07,1069,1944.79,Received
PUR000237,P0119,V010,WH001,2026-01-10,290,12076.3,Received
PUR000238,P0121,V008,WH001,2026-03-13,142,4226.18,Partially Received
PUR000239,P0019,V030,WH002,2025-11-24,675,8067.24,Received
PUR000240,P0142,V006,WH002,2026-03-28,278,7048.24,Received
PUR000241,P0120,V021,WH001,2026-04-04,967,3485.06,Received
PUR000242,P0061,V017,WH007,2026-08-11,66,548.3,Received
PUR000243,P0030,V028,WH008,2026-07-05,882,8651.56,Received
PUR000244,P0009,V004,WH005,2025-10-10,544,10778.9,Received
PUR000245,P0064,V020,WH002,2025-11-20,907,4856.46,Partially Received
PUR000246,P0120,V021,WH006,2026-06-07,227,3238.11,Received
PUR000247,P0052,V008,WH003,2025-11-28,766,883.85,Partially Received
PUR000248,P0089,V025,WH004,2026-04-16,168,6595.06,Received
PUR000249,P0142,V006,WH001,2025-09-09,457,7147.33,Received
PUR000250,P0053,V027,WH001,2026-01-09,174,3624.17,Received
PUR000251,P0078,V019,WH004,2026-06-01,1133,5942.97,Received
PUR000252,P0041,V003,WH005,2026-06-28,377,8342.08,Received
PUR000253,P0068,V012,WH004,2026-04-12,475,5200.74,Received
PUR000254,P0008,V004,WH002,2026-07-05,795,11032.77,Received
PUR000255,P0002,V002,WH004,2026-01-15,648,1203.88,Received
PUR000256,P0105,V029,WH001,2026-01-04,851,1082.46,Received
PUR000257,P0125,V006,WH004,2025-12-02,505,11348.07,Partially Received
PUR000258,P0110,V028,WH003,2026-02-09,552,7098.95,Received
PUR000259,P0086,V026,WH006,2025-11-05,219,4138.92,Received
PUR000260,P0120,V021,WH002,2025-11-26,390,3536.19,Received
PUR000261,P0127,V005,WH004,2026-02-08,1033,415.52,Received
PUR000262,P0016,V030,WH001,2026-04-08,872,2691.95,Received
PUR000263,P0062,V028,WH007,2026-08-14,267,4020.08,Received
PUR000264,P0113,V024,WH006,2025-12-11,807,6125.95,Received
PUR000265,P0012,V020,WH002,2025-10-26,283,10419.71,Received
PUR000266,P0035,V024,WH001,2026-01-29,1101,10614.04,Received
PUR000267,P0011,V021,WH005,2026-03-29,50,10181.85,Received
PUR000268,P0064,V020,WH003,2026-01-08,624,5214.67,Received
PUR000269,P0050,V020,WH008,2026-02-10,521,3472.84,Received
PUR000270,P0149,V015,WH005,2026-03-13,1127,1616.45,Received
PUR000271,P0069,V015,WH008,2025-09-09,905,3113.83,Received
PUR000272,P0048,V006,WH003,2025-08-01,568,4609.56,Received
PUR000273,P0020,V017,WH004,2026-05-01,858,11878.93,Received
PUR000274,P0101,V023,WH002,2026-02-20,1136,6887.71,Received
PUR000275,P0137,V008,WH004,2025-10-04,867,348.75,Received
PUR000276,P0068,V012,WH003,2025-12-05,633,4946.52,Received
PUR000277,P0035,V024,WH003,2026-01-13,431,10207.97,Received
PUR000278,P0065,V018,WH003,2025-12-30,451,6241.26,Received
PUR000279,P0008,V004,WH008,2026-07-12,697,11337.18,Received
PUR000280,P0045,V015,WH006,2026-06-28,178,6055.54,Received
PUR000281,P0087,V004,WH001,2026-03-20,33,8685.64,Received
PUR000282,P0076,V030,WH002,2026-03-03,392,7859.27,Received
PUR000283,P0076,V030,WH004,2025-11-10,244,7536.0,Received
PUR000284,P0047,V012,WH004,2026-02-06,1116,10742.7,Received
PUR000285,P0015,V009,WH005,2025-11-11,530,3651.18,Received
PUR000286,P0105,V029,WH008,2026-05-10,622,1120.49,Received
PUR000287,P0147,V024,WH003,2025-09-01,235,649.81,Received
PUR000288,P0026,V027,WH007,2025-09-18,1007,2263.07,Received
PUR000289,P0052,V008,WH003,2026-03-05,859,923.52,Received
PUR000290,P0093,V030,WH003,2026-01-22,746,10798.58,Received
PUR000291,P0150,V008,WH007,2025-10-21,573,8341.71,Received
PUR000292,P0021,V002,WH004,2026-02-22,1085,4857.3,Received
PUR000293,P0051,V018,WH005,2025-11-16,695,6481.98,Received
PUR000294,P0038,V018,WH001,2025-11-13,892,1940.19,Received
PUR000295,P0020,V017,WH007,2025-10-25,302,11447.29,Received
PUR000296,P0132,V005,WH008,2026-06-23,1101,11658.26,Received
PUR000297,P0055,V026,WH006,2026-07-10,853,9259.58,Partially Received
PUR000298,P0092,V017,WH002,2026-02-16,556,8339.23,Received
PUR000299,P0028,V019,WH008,2025-08-23,1116,4171.72,Received
PUR000300,P0004,V003,WH007,2025-11-01,942,1591.45,Received
PUR000301,P0150,V008,WH001,2025-08-08,1172,8141.8,Received
PUR000302,P0076,V030,WH004,2026-02-20,861,7731.72,Received
PUR000303,P0067,V026,WH006,2026-01-30,967,378.11,Received
PUR000304,P0086,V026,WH006,2026-05-11,684,3937.08,Received
PUR000305,P0091,V007,WH006,2025-09-19,1168,7296.27,Received
PUR000306,P0105,V029,WH003,2026-04-15,86,1040.55,Received
PUR000307,P0001,V007,WH002,2025-08-22,25,8259.7,Received
PUR000308,P0072,V016,WH004,2026-08-03,656,2065.93,Received
PUR000309,P0087,V004,WH004,2025-10-16,333,8413.53,Partially Received
PUR000310,P0006,V015,WH006,2026-03-25,584,5226.99,Received
PUR000311,P0145,V019,WH004,2026-03-06,845,8579.89,Received
PUR000312,P0061,V017,WH002,2026-01-01,525,521.29,Received
PUR000313,P0012,V020,WH002,2026-05-05,1125,10946.49,Received
PUR000314,P0006,V015,WH005,2025-10-26,1045,4942.97,Received
PUR000315,P0027,V028,WH007,2025-10-11,223,7797.23,Received
PUR000316,P0136,V001,WH007,2026-04-02,681,8089.06,Received
PUR000317,P0124,V016,WH005,2025-11-23,824,2039.5,Received
PUR000318,P0106,V022,WH001,2026-08-01,423,10234.14,Received
PUR000319,P0093,V030,WH007,2025-09-10,1146,10421.29,Received
PUR000320,P0109,V007,WH002,2025-11-10,555,5471.6,Received
PUR000321,P0099,V023,WH002,2026-03-06,596,9140.43,Received
PUR000322,P0142,V006,WH007,2026-04-03,782,7279.67,Partially Received
PUR000323,P0035,V024,WH002,2026-08-12,136,10500.43,Received
PUR000324,P0084,V014,WH005,2026-05-20,647,295.42,Received
PUR000325,P0056,V026,WH006,2025-10-20,768,137.06,Received
PUR000326,P0141,V011,WH006,2026-03-27,124,2632.65,Received
PUR000327,P0049,V017,WH004,2026-03-22,514,6923.59,Received
PUR000328,P0046,V016,WH008,2026-01-31,65,3421.91,Received
PUR000329,P0113,V024,WH008,2026-03-05,842,6403.48,Received
PUR000330,P0136,V001,WH006,2025-12-27,1001,8437.34,Received
PUR000331,P0043,V006,WH003,2025-11-30,979,12073.44,Received
PUR000332,P0148,V013,WH005,2025-12-04,864,2583.0,Received
PUR000333,P0124,V016,WH002,2026-07-13,468,1974.68,Received
PUR000334,P0097,V015,WH007,2025-10-11,555,1123.54,Received
PUR000335,P0090,V017,WH006,2026-01-05,530,8919.81,Received
PUR000336,P0039,V003,WH005,2025-08-20,559,7649.81,Received
PUR000337,P0085,V023,WH006,2026-04-15,35,909.63,Received
PUR000338,P0062,V028,WH001,2026-01-16,262,4126.05,Received
PUR000339,P0106,V022,WH002,2026-06-17,931,9327.58,Partially Received
PUR000340,P0107,V004,WH001,2025-10-24,780,4834.94,Received
PUR000341,P0054,V009,WH002,2026-04-26,724,8152.14,Received
PUR000342,P0126,V010,WH005,2025-09-07,134,11618.81,Received
PUR000343,P0009,V004,WH004,2026-01-04,416,11244.39,Received
PUR000344,P0088,V029,WH006,2026-05-16,413,549.37,Received
PUR000345,P0037,V016,WH006,2026-05-15,1118,1349.98,Received
PUR000346,P0049,V017,WH003,2026-06-11,997,6638.42,Received
PUR000347,P0041,V003,WH007,2026-07-29,1146,7991.0,Received
PUR000348,P0017,V024,WH001,2026-03-30,316,10814.89,Received
PUR000349,P0088,V029,WH006,2025-10-03,1021,519.89,Received
PUR000350,P0021,V002,WH005,2026-01-10,197,4864.67,Received
PUR000351,P0051,V018,WH004,2025-12-30,986,6884.08,Received
PUR000352,P0059,V023,WH007,2025-09-19,334,7793.94,Received
PUR000353,P0041,V003,WH005,2026-02-12,1082,7621.91,Received
PUR000354,P0039,V003,WH001,2025-11-24,278,7813.74,Received
PUR000355,P0141,V011,WH003,2025-12-27,26,2674.21,Received
PUR000356,P0011,V021,WH006,2025-11-29,68,10764.34,Received
PUR000357,P0147,V024,WH005,2026-01-13,180,607.64,Received
PUR000358,P0139,V022,WH007,2025-08-21,195,11139.05,Received
PUR000359,P0077,V005,WH002,2026-07-07,1045,11218.36,Received
PUR000360,P0127,V005,WH004,2026-03-19,1020,385.88,Received
PUR000361,P0046,V016,WH007,2025-12-30,474,3577.14,Received
PUR000362,P0045,V015,WH005,2026-07-30,295,6218.5,Received
PUR000363,P0001,V007,WH004,2025-12-06,517,8115.09,Received
PUR000364,P0108,V022,WH006,2026-01-23,695,8217.95,Received
PUR000365,P0019,V030,WH002,2025-09-03,1071,8718.48,Received
PUR000366,P0076,V030,WH003,2026-02-21,1044,8096.19,Received
PUR000367,P0072,V016,WH007,2025-08-04,75,2001.9,Received
PUR000368,P0109,V007,WH003,2026-07-19,566,5190.79,Received
PUR000369,P0012,V020,WH002,2026-06-22,1155,10492.86,Received
PUR000370,P0045,V015,WH004,2026-03-09,55,5733.06,Received
PUR000371,P0090,V017,WH006,2026-07-05,458,8854.69,Received
PUR000372,P0103,V029,WH005,2026-08-15,614,10219.55,Received
PUR000373,P0008,V004,WH002,2025-08-02,326,10784.06,Received
PUR000374,P0091,V007,WH001,2026-07-28,638,7016.11,Received
PUR000375,P0087,V004,WH004,2025-11-20,1152,8255.75,Received
PUR000376,P0084,V014,WH003,2025-11-15,376,303.3,Received
PUR000377,P0082,V005,WH007,2026-08-14,200,7911.76,Received
PUR000378,P0146,V024,WH002,2026-02-02,87,9794.28,Partially Received
PUR000379,P0068,V012,WH003,2026-06-29,311,4914.86,Received
PUR000380,P0127,V005,WH004,2026-01-21,711,380.69,Received
PUR000381,P0082,V005,WH003,2025-12-16,200,7682.55,Received
PUR000382,P0147,V024,WH002,2025-11-21,453,645.58,Received
PUR000383,P0084,V014,WH004,2025-08-12,933,312.81,Received
PUR000384,P0113,V024,WH001,2026-06-06,85,6254.92,Partially Received
PUR000385,P0076,V030,WH002,2025-08-29,1064,8251.96,Received
PUR000386,P0122,V005,WH005,2025-12-05,403,11191.43,Partially Received
PUR000387,P0143,V019,WH008,2026-06-05,58,11034.89,Received
PUR000388,P0041,V003,WH006,2026-05-21,841,7572.58,Received
PUR000389,P0002,V002,WH002,2025-08-31,621,1276.1,Received
PUR000390,P0029,V008,WH004,2026-03-21,804,4728.72,Received
PUR000391,P0105,V029,WH007,2026-07-30,690,1117.05,Received
PUR000392,P0051,V018,WH006,2026-07-05,1116,6995.65,Received
PUR000393,P0075,V016,WH002,2025-12-27,498,9373.83,Received
PUR000394,P0010,V028,WH001,2026-04-20,580,10651.28,Received
PUR000395,P0142,V006,WH007,2025-10-20,120,7670.48,Received
PUR000396,P0051,V018,WH001,2025-10-12,533,6613.91,Received
PUR000397,P0118,V022,WH005,2026-01-11,195,6792.73,Partially Received
PUR000398,P0121,V008,WH007,2026-04-07,257,4298.53,Received
PUR000399,P0039,V003,WH003,2026-01-06,929,7975.54,Received
PUR000400,P0028,V019,WH008,2026-07-25,1102,4038.73,Received
PUR000401,P0003,V012,WH007,2026-02-19,1142,7527.93,Received
PUR000402,P0084,V014,WH006,2026-05-19,890,283.41,Received
PUR000403,P0117,V015,WH007,2025-10-18,514,7553.9,Received
PUR000404,P0002,V002,WH004,2025-09-13,966,1276.28,Received
PUR000405,P0093,V030,WH008,2026-06-30,774,11468.05,Received
PUR000406,P0131,V001,WH004,2026-05-07,230,247.85,Received
